"Game_id","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Matchup_ID"
22200809,1610612764,1610612739,91,114,-23,7,7,3964
22200813,1610612762,1610612742,111,124,-13,10,17,4262
22200815,1610612757,1610612749,108,127,-19,1,7,4957
22200814,1610612744,1610612760,141,114,27,11,7,4460
22200808,1610612765,1610612738,99,111,-12,9,10,3865
22200811,1610612741,1610612759,128,104,24,7,6,4159
22200810,1610612751,1610612746,116,124,-8,8,11,4651
22200816,1610612753,1610612752,98,102,-4,9,11,5253
22200821,1610612747,1610612760,130,133,-3,6,7,4760
22200820,1610612743,1610612750,146,112,34,6,8,4350
22200817,1610612751,1610612756,112,116,-4,5,16,5156
22200819,1610612763,1610612741,104,89,15,5,11,4163
22200818,1610612740,1610612737,116,107,9,13,10,3740
22200823,1610612764,1610612766,118,104,14,11,12,6466
22200829,1610612746,1610612742,104,110,-6,9,8,4246
22200828,1610612762,1610612750,118,143,-25,21,8,5062
22200825,1610612748,1610612754,116,111,5,15,5,4854
22200822,1610612739,1610612765,113,85,28,13,9,3965
22200830,1610612757,1610612744,125,122,3,12,10,4457
22200824,1610612738,1610612755,106,99,7,5,8,3855
22200826,1610612761,1610612759,112,98,14,9,7,5961
22200827,1610612745,1610612758,128,130,-2,15,10,4558
22200831,1610612753,1610612743,115,104,11,15,7,4353
22200833,1610612751,1610612741,116,105,11,11,8,4151
22200834,1610612747,1610612749,106,115,-9,11,16,4749
22200832,1610612737,1610612756,116,107,9,20,9,3756
22200841,1610612763,1610612750,128,107,21,9,7,5063
22200843,1610612757,1610612760,129,138,-9,9,10,5760
22200836,1610612754,1610612756,104,117,-13,11,19,5456
22200837,1610612755,1610612752,119,108,11,6,4,5255
22200839,1610612761,1610612762,116,122,-6,9,9,6162
22200842,1610612740,1610612739,107,118,-11,11,12,3940
22200835,1610612765,1610612759,138,131,7,21,13,5965
22200845,1610612746,1610612749,106,119,-13,3,9,4649
22200844,1610612758,1610612742,114,122,-8,5,11,4258
22200840,1610612748,1610612745,97,95,2,6,10,4548
22200838,1610612738,1610612766,127,116,11,5,11,3866
22200847,1610612766,1610612743,105,119,-14,5,14,4366
22200849,1610612764,1610612754,127,113,14,8,17,5464
22200854,1610612758,1610612742,133,128,5,11,7,4258
22200853,1610612744,1610612747,103,109,-6,7,10,4447
22200852,1610612739,1610612741,97,89,8,10,6,3941
22200851,1610612752,1610612762,126,120,6,20,11,5262
22200848,1610612753,1610612748,103,107,-4,12,11,4853
22200850,1610612737,1610612759,125,106,19,14,14,3759
22200846,1610612751,1610612755,98,101,-3,12,8,5155
22200856,1610612761,1610612765,119,118,1,13,6,6165
22200855,1610612738,1610612763,119,109,10,15,3,3863
22200860,1610612755,1610612745,123,104,19,7,15,4555
22200858,1610612739,1610612759,117,109,8,11,11,3959
22200859,1610612754,1610612762,117,123,-6,8,11,5462
22200857,1610612766,1610612737,144,138,6,3,16,3766
22200861,1610612748,1610612743,108,112,-4,9,6,4348
22200862,1610612752,1610612751,124,106,18,6,10,5152
22200863,1610612741,1610612753,91,100,-9,10,7,4153
22200864,1610612760,1610612740,100,103,-3,14,4,4060
22200865,1610612742,1610612750,121,124,-3,9,10,4250
22200867,1610612757,1610612747,127,115,12,8,14,4757
22200866,1610612744,1610612764,135,126,9,11,9,4464
22200869,1610612749,1610612738,131,125,6,10,8,3849
22200871,1610612746,1610612744,134,124,10,12,8,4446
22200870,1610612756,1610612758,120,109,11,8,13,5658
22200872,1610612757,1610612764,101,126,-25,12,5,5764
22200868,1610612761,1610612753,123,113,10,13,9,5361
22200878,1610612751,1610612748,116,105,11,5,12,4851
22200882,1610612747,1610612740,120,102,18,6,13,4047
22200881,1610612743,1610612742,118,109,9,6,6,4243
22200880,1610612760,1610612745,133,96,37,10,14,4560
22200879,1610612763,1610612762,117,111,6,17,15,6263
22200875,1610612755,1610612739,118,112,6,8,10,3955
22200876,1610612737,1610612752,101,122,-21,8,10,3752
22200873,1610612766,1610612759,120,110,10,15,20,5966
22200874,1610612754,1610612741,117,113,4,6,6,4154
22200877,1610612738,1610612765,127,109,18,8,6,3865
22200884,1610612750,1610612764,106,114,-8,16,13,5064
